77.44,50.92,3,#
56.02,20.88,47,#
71.5,78.87,57,#
54.24,98.86,88,#
0.48,18.72,87,#
41.92,-21.28,23,#
0.79,24.09,98,#
123.34,63.77,31,#
39.3,9.81,45,#
-11.99,48.84,47,#
32.23,32.06,59,#
40.53,59.79,89,#
-10.87,90.95,66,#
17.38,48.12,76,#
61.88,91.9,68,#
105.31,15.88,75,#
41.64,61.45,72,#
44.85,38.98,66,#
81.65,13.98,75,#
34.94,56.14,83,#
109.36,36.43,35,#
60.68,62.31,61,#
24.3,120.42,65,#
59.48,61.22,78,#
46.84,3.75,84,#
47.08,29.88,97,#
52.1,19.94,77,#
26.24,78.65,25,#
77.36,16.9,14,#
64.89,89.09,16,#
74.3,50.24,20,#
57.63,15.55,61,#
68.96,63.22,8,#
88.93,105.76,25,#
53.19,24.21,64,#
21.22,43.52,15,#
60.28,97.22,88,#
49.01,53.8,55,#
18.34,-35.31,57,#
46.5,14.17,64,#
43.17,73.34,76,#
32.84,71.2,54,#
-26.86,56.12,42,#
8.7,49.25,28,#
87.21,115.69,35,#
79.36,60.18,30,#
23.85,29.57,82,#
119.77,-7.59,83,#
33.56,55.51,1,#
35.22,59.25,55,#
51.59,20.39,40,#
31.83,81.54,58,#
-25.5,4.67,25,#
16.71,48.73,100,#
-16.88,71.7,42,#
74.56,45.07,12,#
20.15,15.64,7,#
41.07,-4.1,82,#
1.04,72.28,39,#
49.84,28.83,19,#
56.17,73.61,13,#
76.27,79.09,67,#
15.9,40.11,90,#
52.84,17.01,30,#
64.26,114.38,24,#
8.23,-1.5,89,#
53.78,103.31,58,#
66.38,110.83,60,#
106.55,48.45,35,#
113.69,105.87,61,#
31.27,39.33,52,#
74.17,61.24,88,#
40.41,-1.57,4,#
70.75,49.03,56,#
35.22,34.24,66,#
30.33,11.56,25,#
33.51,59.09,25,#
56.6,38.82,92,#
82.61,87.85,46,#
36.79,72.81,51,#
55.84,103.74,52,#
29.06,29.17,6,#
94.72,55.52,38,#
43.04,24.85,19,#
-15.44,63.13,27,#
40.09,-8.67,86,#
17.4,61.23,63,#
13.37,42.17,57,#
68.87,39.71,26,#
52.93,24.51,95,#
61.04,9.57,27,#
102.07,-4.2,90,#
64.57,2.86,69,#
44.56,42.36,48,#
36.81,21.95,85,#
25.49,59.33,79,#
12.88,29.44,37,#
20.22,68.85,92,#
60.19,82.48,97,#
67.65,77.42,98,#
43.2,68.95,65,#
29.19,23.16,75,#
26.88,77.2,56,#
30.55,29.49,44,#
33.62,36.58,83,#
26.89,48.03,37,#
43.67,47.32,40,#
75.6,-18.76,27,#
18.35,53.19,55,#
31.17,22.43,66,#
51.14,29.25,2,#
56.97,39.28,100,#
40.79,40.28,23,#
46.13,75.0,72,#
16.99,62.46,40,#
17.91,87.13,24,#
78.51,36.09,35,#
97.38,43.45,28,#
29.4,36.92,76,#
78.76,39.77,5,#
39.59,100.11,85,#
23.2,31.34,10,#
13.6,23.3,49,#
33.0,40.48,6,#
77.02,86.16,38,#
5.24,21.03,98,#
40.89,73.92,9,#
38.03,64.34,44,#
42.58,72.14,39,#
98.04,76.26,97,#
