72,67,6,70,16,5,46,3,38,#
89,73,29,43,91,84,51,23,27,#
13,69,74,8,83,77,7,28,57,#
40,19,95,94,86,46,78,51,46,#
78,6,75,69,81,11,7,78,90,#
56,35,85,35,80,66,86,57,82,#
16,30,100,35,32,90,7,46,12,#
95,6,6,71,50,92,92,100,69,#
58,49,41,99,43,14,96,75,43,#
96,11,57,97,72,29,29,96,10,#
39,62,44,4,66,85,14,50,20,#
45,17,44,66,47,34,76,61,61,#
53,69,96,39,64,29,10,4,44,#
21,15,4,90,17,44,8,91,29,#
24,11,76,63,92,43,14,36,97,#
14,50,1,16,73,6,14,99,60,#
40,83,59,47,2,31,65,36,17,#
89,58,44,81,11,8,64,21,41,#
77,26,68,34,5,62,99,69,85,#
47,99,36,12,51,33,56,76,94,#
31,40,71,58,100,9,82,31,58,#
65,62,14,86,65,32,43,38,57,#
82,11,80,74,32,83,62,86,57,#
100,39,14,86,55,73,1,83,32,#
90,33,82,19,62,4,58,29,68,#
98,5,46,84,43,68,94,44,80,#
28,39,4,14,47,35,14,47,61,#
89,48,55,77,47,76,27,71,92,#
3,76,12,61,66,2,23,88,1,#
53,60,52,49,83,77,14,52,50,#
40,19,93,13,91,91,22,46,97,#
90,24,27,19,98,65,37,44,41,#
64,99,89,80,38,69,72,40,46,#
90,78,9,28,96,33,1,62,79,#
36,26,85,49,69,90,59,74,25,#
81,51,64,38,98,15,68,41,10,#
18,93,34,63,91,21,43,98,79,#
67,91,92,99,65,23,77,90,56,#
2,50,42,94,27,19,30,61,91,#
50,99,38,12,66,63,95,37,28,#
61,2,54,84,92,21,67,4,28,#
20,97,100,15,91,56,8,82,86,#
87,44,22,16,25,53,3,21,35,#
81,32,9,2,79,37,7,26,25,#
41,72,58,78,4,92,76,1,86,#
83,61,93,27,74,17,88,72,24,#
84,40,98,71,46,80,78,87,13,#
75,63,97,70,78,40,77,32,84,#
13,44,90,75,22,16,86,79,17,#
42,25,45,83,58,51,39,20,39,#
82,53,48,85,28,15,64,53,35,#
92,98,68,1,84,49,42,35,36,#
66,84,37,14,17,83,81,10,40,#
89,92,94,74,14,2,65,54,38,#
86,14,69,72,68,38,62,1,5,#
5,70,13,42,49,41,57,61,87,#
87,7,35,69,47,63,33,27,22,#
53,43,18,60,53,6,75,31,60,#
73,81,36,74,52,33,44,98,97,#
43,54,12,46,82,25,98,25,34,#
51,23,25,18,61,46,49,90,58,#
13,50,94,40,40,22,81,60,45,#
93,72,59,53,76,67,31,77,5,#
78,98,95,26,76,48,91,52,7,#
29,66,32,24,18,65,12,100,63,#
65,97,94,31,18,100,99,75,15,#
48,64,25,100,12,85,19,6,95,#
3,79,45,49,27,18,81,51,28,#
41,3,86,36,84,99,42,68,34,#
68,18,50,88,48,93,83,71,93,#
88,88,82,27,30,85,33,73,86,#
43,74,61,1,48,30,48,68,26,#
97,57,69,64,45,75,27,29,55,#
38,15,29,5,50,28,12,94,57,#
95,74,31,46,12,65,48,51,39,#
24,80,92,61,17,92,12,48,87,#
7,7,48,14,51,24,79,13,11,#
73,5,57,69,9,75,49,72,62,#
82,96,40,66,75,1,24,71,41,#
53,57,7,92,31,12,53,67,30,#
15,69,61,44,72,80,40,77,25,#
16,21,68,6,60,50,77,63,98,#
19,8,20,70,96,78,87,15,57,#
53,17,34,28,32,40,63,51,46,#
83,93,39,22,73,47,15,70,22,#
93,76,79,14,25,72,3,75,64,#
44,88,64,79,49,95,79,90,11,#
41,73,59,65,10,25,54,65,65,#
13,69,58,77,65,12,58,92,92,#
35,7,3,87,75,62,25,91,79,#
54,27,33,21,80,95,99,28,16,#
12,3,92,29,91,52,31,24,42,#
83,86,72,41,86,56,74,28,47,#
41,87,93,21,45,92,99,66,94,#
90,28,61,4,99,81,18,70,40,#
25,48,8,94,94,20,49,91,32,#
15,43,12,54,36,53,4,20,92,#
79,92,60,10,80,81,4,10,82,#
16,1,97,3,19,67,81,76,83,#
19,81,4,61,45,85,13,27,16,#
42,66,60,44,50,65,84,30,2,#
59,81,81,7,22,63,32,50,5,#
24,96,67,23,51,51,73,48,61,#
97,76,68,12,17,66,82,94,92,#
66,78,8,23,2,43,55,66,19,#
85,82,71,36,10,96,11,83,36,#
1,70,100,62,23,57,26,76,69,#
33,80,49,21,51,44,66,89,63,#
4,28,14,14,24,91,59,21,69,#
37,42,85,26,93,35,53,47,32,#
55,54,14,64,63,39,44,94,81,#
90,11,11,4,61,68,65,26,66,#
81,46,15,66,24,64,62,36,76,#
57,33,93,33,10,33,76,49,82,#
49,36,50,95,43,44,48,66,93,#
58,54,62,93,85,44,76,76,39,#
13,94,70,10,52,56,26,19,25,#
52,72,2,41,22,31,34,78,94,#
93,54,38,71,45,41,96,21,93,#
62,36,33,11,72,46,40,91,63,#
93,5,14,80,20,26,93,45,92,#
14,25,63,61,41,84,94,71,54,#
99,90,43,77,20,8,76,85,37,#
76,28,22,24,54,43,6,39,86,#
90,93,61,82,52,62,57,23,43,#
48,37,56,94,33,87,47,42,36,#
96,55,39,1,11,83,43,10,34,#
87,5,69,39,20,25,88,5,81,#
57,29,63,31,47,85,86,87,34,#
58,88,93,84,8,23,51,26,97,#
59,80,70,17,14,77,33,43,63,#
75,55,39,53,43,1,20,5,93,#
72,71,4,38,35,91,1,36,89,#
25,74,27,32,95,50,75,91,1,#
83,53,40,57,95,3,83,16,7,#
39,33,69,10,31,85,2,20,24,#
63,97,83,62,76,90,10,85,87,#
72,65,82,21,31,62,84,70,75,#
90,25,29,51,42,23,24,14,31,#
61,59,78,5,79,17,60,39,77,#
81,89,61,49,67,92,63,17,43,#
45,5,76,54,62,98,24,83,33,#
44,11,15,50,7,34,36,87,88,#
61,79,25,48,14,86,24,60,10,#
90,17,64,53,28,13,63,93,3,#
2,57,85,20,99,74,100,93,59,#
36,43,63,46,12,32,15,67,80,#
9,82,84,96,2,10,30,49,98,#
52,50,65,30,51,7,49,40,72,#
77,59,55,54,44,98,25,13,85,#
79,95,45,30,45,83,50,38,43,#
51,17,31,55,85,73,23,76,88,#
7,82,14,21,10,54,95,43,7,#
32,73,44,12,83,67,91,70,2,#
7,47,21,29,13,39,37,12,28,#
93,36,11,62,55,89,40,26,1,#
50,42,59,95,55,65,2,13,34,#
62,45,35,54,75,87,20,39,39,#
11,60,74,77,11,51,92,22,69,#
13,75,61,51,44,16,49,90,30,#
64,89,52,34,23,16,34,2,89,#
45,98,80,2,49,65,64,96,37,#
91,64,70,25,24,80,33,15,39,#
88,100,83,42,25,54,9,32,71,#
15,100,25,55,60,60,59,37,13,#
80,79,65,36,10,6,17,2,47,#
49,17,69,99,15,98,2,10,68,#
59,3,30,99,83,65,77,5,17,#
64,97,51,88,67,28,91,56,71,#
87,83,15,91,21,77,1,66,19,#
50,15,89,92,37,78,23,79,12,#
21,89,15,55,45,92,20,4,41,#
18,12,61,89,89,64,39,50,70,#
43,20,56,94,71,53,53,33,52,#
11,2,69,1,59,20,62,42,50,#
89,43,79,51,72,57,53,79,41,#
43,76,63,85,36,47,41,67,29,#
33,63,44,75,8,65,88,30,23,#
38,98,37,89,78,95,92,4,100,#
37,45,69,38,43,70,40,57,51,#
79,52,82,45,32,74,81,3,60,#
14,100,14,70,39,57,100,100,47,#
99,78,66,71,25,17,66,3,100,#
26,3,81,3,18,84,14,2,78,#
60,49,73,26,72,81,47,17,65,#
84,57,5,58,20,18,65,44,93,#
15,43,37,32,50,37,84,70,10,#
60,80,48,39,78,36,80,99,36,#
67,70,64,58,90,18,95,27,14,#
78,3,71,41,73,31,7,89,21,#
54,13,11,64,26,78,43,83,82,#
1,88,40,33,2,3,72,15,72,#
78,61,30,30,13,79,31,27,31,#
78,60,36,50,5,75,64,89,54,#
53,37,96,87,69,91,93,4,42,#
32,49,13,69,56,76,17,36,95,#
99,21,40,81,23,91,44,38,75,#
74,61,89,25,90,84,34,29,11,#
45,15,82,66,6,62,55,18,6,#
97,36,1,63,96,26,51,1,4,#
70,82,24,14,63,30,35,56,61,#
34,28,10,60,34,48,52,68,42,#
26,86,89,73,72,100,53,63,31,#
60,22,52,85,41,38,68,59,60,#
74,16,8,49,63,7,30,90,76,#
14,92,22,10,85,46,21,75,85,#
84,38,79,53,29,95,23,83,52,#
