41,61,25,#
49,52,26,#
49,66,30,#
46,46,83,#
51,57,37,#
50,46,11,#
60,49,71,#
46,55,98,#
53,36,79,#
50,64,38,#
57,49,91,#
69,54,65,#
48,58,9,#
57,43,49,#
54,50,72,#
55,48,82,#
51,51,56,#
44,40,10,#
62,48,51,#
41,45,3,#
38,45,11,#
46,62,23,#
41,45,39,#
47,58,40,#
51,35,54,#
53,53,8,#
51,43,91,#
44,41,70,#
51,48,85,#
47,60,49,#
45,45,50,#
47,42,50,#
56,50,97,#
48,48,69,#
57,52,32,#
42,41,38,#
57,59,67,#
42,39,36,#
56,58,60,#
49,42,53,#
48,51,72,#
45,64,14,#
50,51,77,#
65,43,64,#
61,58,80,#
73,37,34,#
45,63,99,#
47,59,45,#
44,53,57,#
54,61,20,#
55,51,4,#
54,43,89,#
41,56,9,#
41,49,91,#
49,57,10,#
51,49,88,#
47,45,89,#
42,41,19,#
51,55,35,#
52,41,49,#
51,40,23,#
55,58,96,#
57,58,25,#
50,54,50,#
41,55,8,#
47,49,99,#
54,48,93,#
44,49,31,#
56,45,93,#
62,54,65,#
46,67,54,#
49,58,71,#
45,43,10,#
54,41,59,#
46,49,88,#
47,39,10,#
56,60,33,#
52,59,57,#
51,48,72,#
54,47,4,#
59,57,63,#
48,56,41,#
51,48,58,#
39,53,61,#
60,55,16,#
51,41,73,#
40,52,21,#
46,44,3,#
60,59,86,#
62,53,88,#
50,52,24,#
43,40,15,#
61,42,4,#
43,61,53,#
49,81,72,#
64,38,45,#
44,43,95,#
54,41,22,#
49,37,25,#
54,60,42,#
43,58,58,#
57,50,69,#
71,35,29,#
50,50,34,#
43,51,68,#
42,64,68,#
58,47,9,#
48,37,13,#
56,51,84,#
55,61,23,#
42,43,37,#
41,53,35,#
45,47,97,#
58,42,85,#
51,59,73,#
49,50,18,#
49,45,76,#
53,59,53,#
50,57,82,#
47,37,14,#
50,40,7,#
45,63,77,#
49,48,91,#
48,52,74,#
43,62,31,#
46,52,20,#
45,54,46,#
59,50,31,#
52,54,87,#
44,51,12,#
61,54,2,#
45,52,34,#
40,46,11,#
44,65,47,#
52,45,20,#
55,48,25,#
36,33,66,#
38,60,22,#
55,64,94,#
45,51,73,#
60,50,16,#
44,55,25,#
60,56,31,#
43,45,83,#
50,54,45,#
44,36,12,#
58,39,7,#
57,49,79,#
58,36,4,#
48,53,92,#
44,41,85,#
48,62,45,#
46,47,19,#
53,57,77,#
44,53,55,#
48,56,15,#
40,45,71,#
52,51,11,#
58,38,89,#
49,46,79,#
48,49,60,#
44,45,81,#
53,58,76,#
41,44,44,#
66,53,33,#
39,49,1,#
45,42,64,#
39,56,75,#
45,52,75,#
56,47,48,#
58,46,91,#
46,42,33,#
41,55,64,#
42,34,44,#
54,33,99,#
45,51,16,#
49,48,18,#
43,52,21,#
58,48,33,#
56,44,18,#
48,53,33,#
53,54,44,#
55,45,10,#
55,50,84,#
42,42,64,#
55,50,52,#
56,64,56,#
47,43,27,#
57,44,62,#
42,39,78,#
54,58,88,#
42,56,95,#
38,36,96,#
56,52,57,#
42,60,37,#
52,51,46,#
52,55,56,#
36,53,42,#
56,56,28,#
48,56,92,#
44,51,95,#
51,54,50,#
48,41,16,#
45,62,18,#
50,56,43,#
67,43,8,#
45,53,38,#
48,47,11,#
42,55,20,#
45,48,41,#
44,60,95,#
43,38,46,#
64,46,34,#
51,49,5,#
46,44,83,#
72,53,7,#
42,38,82,#
52,60,26,#
50,62,58,#
46,36,71,#
56,60,62,#
53,43,100,#
57,46,11,#
54,63,37,#
61,54,62,#
46,47,19,#
44,41,5,#
51,45,48,#
52,44,87,#
33,45,85,#
57,39,29,#
52,53,35,#
52,50,30,#
42,50,14,#
43,44,96,#
57,56,58,#
50,59,4,#
47,54,71,#
60,58,27,#
60,45,59,#
55,66,63,#
40,44,87,#
49,58,90,#
64,57,78,#
42,50,74,#
46,54,39,#
52,50,32,#
56,53,36,#
49,51,70,#
51,50,24,#
37,47,86,#
46,49,90,#
52,60,57,#
54,48,48,#
40,46,15,#
47,48,52,#
46,58,93,#
44,57,66,#
54,55,60,#
50,52,28,#
52,44,70,#
49,49,38,#
48,41,2,#
49,53,21,#
57,60,9,#
50,59,12,#
51,47,33,#
57,44,43,#
51,46,33,#
52,60,64,#
60,53,59,#
48,37,64,#
46,52,25,#
64,51,58,#
48,45,45,#
65,49,5,#
49,51,77,#
50,57,11,#
56,40,7,#
57,50,4,#
50,56,5,#
53,54,95,#
41,40,95,#
50,58,34,#
66,32,47,#
51,50,44,#
51,58,90,#
47,47,19,#
47,59,18,#
44,60,62,#
56,39,1,#
51,51,73,#
60,46,85,#
49,56,78,#
48,43,75,#
52,42,61,#
50,54,76,#
56,64,25,#
51,38,89,#
56,53,43,#
54,46,93,#
60,42,37,#
49,52,7,#
47,37,59,#
50,44,38,#
56,44,39,#
40,57,59,#
35,53,57,#
57,52,74,#
49,55,99,#
36,51,94,#
44,53,75,#
46,45,39,#
43,52,90,#
